gene/TE	count	sample
"gene_10567"	866	W12MR1
"gene_10568"	431	W12MR1
"gene_10569"	2	W12MR1
"gene_1057"	434	W12MR1
"gene_10570"	233	W12MR1
"gene_10571"	563	W12MR1
"gene_10572"	1610	W12MR1
"gene_10573"	3933	W12MR1
"gene_10574"	507	W12MR1
"gene_10575"	3032	W12MR1
"gene_10576"	4108	W12MR1
"gene_10577"	7837	W12MR1
"gene_10578"	15705	W12MR1
"gene_10579"	10044	W12MR1
"gene_1058"	1969	W12MR1
"gene_10580"	6078	W12MR1
"gene_10581"	47098	W12MR1
"gene_10582"	6041	W12MR1
"gene_10583"	3947	W12MR1
"gene_10584"	3297	W12MR1
"gene_10585"	32627	W12MR1
"gene_10586"	9078	W12MR1
"gene_10587"	565	W12MR1
"gene_10588"	863	W12MR1
"gene_10589"	8359	W12MR1
"gene_1059"	2605	W12MR1
"gene_10590"	3175	W12MR1
"gene_10591"	2484	W12MR1
"gene_10592"	3129	W12MR1
"gene_10593"	2324	W12MR1
"gene_10594"	767	W12MR1
"gene_10595"	3536	W12MR1
"gene_10596"	1923	W12MR1
"gene_10597"	2493	W12MR1
"gene_10598"	13927	W12MR1
"gene_10599"	18	W12MR1
"gene_106"	0	W12MR1
"gene_10600"	68	W12MR1
"gene_10601"	114	W12MR1
"gene_10602"	10668	W12MR1
"gene_10603"	40737	W12MR1
"gene_10604"	1117	W12MR1
"gene_10605"	34665	W12MR1
"gene_10606"	3071	W12MR1
"gene_10607"	1666	W12MR1
"gene_10608"	11151	W12MR1
"gene_10609"	494	W12MR1
"gene_1061"	55	W12MR1
"gene_10610"	60	W12MR1
"gene_10611"	2	W12MR1
"gene_10612"	0	W12MR1
"gene_10613"	14	W12MR1
"gene_10614"	1	W12MR1
"gene_10615"	299	W12MR1
"gene_10616"	30	W12MR1
"gene_10617"	33	W12MR1
"gene_10618"	3	W12MR1
"gene_10619"	0	W12MR1
"gene_1062"	500	W12MR1
"gene_10620"	61	W12MR1
"gene_10621"	2753	W12MR1
"gene_10622"	201430	W12MR1
"gene_10623"	139	W12MR1
"gene_10624"	33	W12MR1
"gene_10625"	1248	W12MR1
"gene_10626"	4322	W12MR1
"gene_10627"	12704	W12MR1
"gene_10628"	433	W12MR1
"gene_1063"	1	W12MR1
"gene_10630"	1665	W12MR1
"gene_10631"	296	W12MR1
"gene_10632"	809	W12MR1
"gene_10633"	185	W12MR1
"gene_10634"	111	W12MR1
"gene_10635"	802	W12MR1
"gene_10636"	268	W12MR1
"gene_10637"	147	W12MR1
"gene_10638"	1166	W12MR1
"gene_10639"	32363	W12MR1
"gene_1064"	195	W12MR1
"gene_10640"	657	W12MR1
"gene_10641"	3773	W12MR1
"gene_10642"	12884	W12MR1
"gene_10643"	57	W12MR1
"gene_10644"	782	W12MR1
"gene_10645"	1437	W12MR1
"gene_10646"	8015	W12MR1
"gene_10647"	312	W12MR1
